"","date","m1","m3","p","rs","rff","rl","y","u"
"2009-07-01",2009-07-01,1657.7,8432.5,90.5951893746018,0.18,0.16,3.56,88.0323,9.5
"2009-08-01",2009-08-01,1651.3,8432.2,90.898543142475,0.17,0.16,3.59,89.019,9.6
"2009-09-01",2009-09-01,1641,8431.5,91.0740579789635,0.12,0.15,3.4,89.6926,9.8
"2009-10-01",2009-10-01,1664.3,8458.3,91.3474560896476,0.07,0.12,3.39,89.9797,10
"2009-11-01",2009-11-01,1683.1,8488.4,91.6533413215086,0.05,0.12,3.4,90.3375,9.9
"2009-12-01",2009-12-01,1724.4,8483.4,91.7010172266124,0.05,0.12,3.59,90.6132,9.9
"2010-01-01",2010-01-01,1674.2,8445.7,91.7605066303261,0.06,0.11,3.73,91.6642,9.8
"2010-02-01",2010-02-01,1685.2,8495.3,91.6731711227465,0.11,0.13,3.69,91.994,9.8
"2010-03-01",2010-03-01,1729.5,8492.4,91.7035486906002,0.15,0.16,3.73,92.5993,9.9
"2010-04-01",2010-04-01,1716,8522.8,91.724644223832,0.16,0.2,3.85,92.9436,9.9
"2010-05-01",2010-05-01,1708.2,8577.5,91.6769683187282,0.16,0.2,3.42,94.2997,9.6
"2010-06-01",2010-06-01,1732.3,8596.6,91.6385744482463,0.12,0.18,3.2,94.4397,9.4
"2010-07-01",2010-07-01,1718.4,8606.2,91.8098701780885,0.16,0.18,3.01,94.8536,9.4
"2010-08-01",2010-08-01,1739.6,8656.5,91.9440377694427,0.16,0.19,2.7,95.1448,9.5
"2010-09-01",2010-09-01,1741.4,8687.7,92.0925503233945,0.15,0.19,2.65,95.3637,9.5
"2010-10-01",2010-10-01,1767.4,8736.7,92.4132024285178,0.13,0.19,2.54,95.1109,9.4
"2010-11-01",2010-11-01,1828.7,8757.4,92.6473628473907,0.14,0.19,2.76,95.1383,9.8
"2010-12-01",2010-12-01,1871.4,8789.3,93.0194880535995,0.14,0.18,3.29,96.0599,9.3
"2011-01-01",2011-01-01,1855.6,8825.9,93.3211541788142,0.15,0.17,3.39,95.9364,9.1
"2011-02-01",2011-02-01,1858.7,8871.4,93.6211326613703,0.13,0.16,3.58,95.5154,9
"2011-03-01",2011-03-01,1909.4,8915.7,94.1054861043722,0.1,0.14,3.41,96.4643,9
"2011-04-01",2011-04-01,1918,8977.9,94.547226570246,0.06,0.1,3.46,96.1187,9.1
"2011-05-01",2011-05-01,1934.2,9029.2,94.8480488741314,0.04,0.09,3.17,96.3377,9
"2011-06-01",2011-06-01,1954.1,9113.4,94.8480488741314,0.04,0.09,3,96.6154,9.1
"2011-07-01",2011-07-01,1994.5,9301.4,95.0965542556019,0.04,0.07,3,97.1292,9
"2011-08-01",2011-08-01,2101.9,9515.1,95.396532738158,0.02,0.1,2.3,97.6731,9
"2011-09-01",2011-09-01,2099.1,9539.7,95.6036908744942,0.01,0.08,1.98,97.6494,9
"2011-10-01",2011-10-01,2128.1,9571.3,95.6682432061835,0.02,0.07,2.15,98.3222,8.8
"2011-11-01",2011-11-01,2164.4,9612.3,95.8450237746659,0.01,0.08,2.01,98.2433,8.6
"2011-12-01",2011-12-01,2208.1,9651.1,95.8678069505563,0.01,0.07,1.98,98.7876,8.5
"2012-01-01",2012-01-01,2209.2,9730.3,96.1289696519659,0.03,0.08,1.97,99.3925,8.3
"2012-02-01",2012-02-01,2194.5,9773.1,96.3344401456436,0.09,0.1,1.97,99.6203,8.3
"2012-03-01",2012-03-01,2246,9817.8,96.5361134433395,0.08,0.13,2.17,99.1551,8.2
"2012-04-01",2012-04-01,2268.6,9872.1,96.6964394959011,0.08,0.14,2.05,99.9006,8.2
"2012-05-01",2012-05-01,2248.4,9903.8,96.4964538408637,0.09,0.16,1.8,100.0924,8.2
"2012-06-01",2012-06-01,2271,9973.6,96.4167127252475,0.09,0.16,1.62,100.0728,8.2
"2012-07-01",2012-07-01,2314.6,10046.8,96.4445588291135,0.1,0.16,1.53,100.3354,8.2
"2012-08-01",2012-08-01,2334.6,10117.9,97.00485619175,0.1,0.13,1.68,99.856,8.1
"2012-09-01",2012-09-01,2358,10200.2,97.4676921908555,0.11,0.14,1.72,99.9049,7.8
"2012-10-01",2012-10-01,2416.2,10261.3,97.7305425349236,0.1,0.16,1.75,100.1167,7.8
"2012-11-01",2012-11-01,2415.2,10319.9,97.5664192863803,0.09,0.16,1.65,100.5991,7.7
"2012-12-01",2012-12-01,2509.7,10445.7,97.5546057877705,0.07,0.16,1.72,100.9542,7.9
"2013-01-01",2013-01-01,2481.3,10471.2,97.7478408721737,0.07,0.14,1.91,100.8204,8
"2013-02-01",2013-02-01,2455.7,10468.2,98.2786044882856,0.1,0.15,1.98,101.3995,7.7
"2013-03-01",2013-03-01,2497.2,10539.7,98.0022530029491,0.09,0.14,1.96,101.8114,7.5
"2013-04-01",2013-04-01,2542.3,10575.1,97.7976263306007,0.06,0.15,1.76,101.6364,7.6
"2013-05-01",2013-05-01,2518.5,10611.3,97.8381297544058,0.04,0.11,1.93,101.7476,7.5
"2013-06-01",2013-06-01,2523.5,10665.9,98.0710244412848,0.05,0.09,2.3,101.9549,7.5
"2013-07-01",2013-07-01,2543.7,10721.9,98.2629937936941,0.04,0.09,2.58,101.5204,7.3
"2013-08-01",2013-08-01,2537.4,10780.4,98.4975761232316,0.04,0.08,2.74,102.1907,7.2
"2013-09-01",2013-09-01,2555.8,10832.6,98.5347042617196,0.02,0.08,2.81,102.717,7.2
"2013-10-01",2013-10-01,2618.4,10945.2,98.5874430947991,0.05,0.09,2.62,102.5371,7.2
"2013-11-01",2013-11-01,2607.2,10953,98.7692865912572,0.07,0.08,2.72,102.8379,6.9
"2013-12-01",2013-12-01,2715.7,11015,99.0304492926668,0.07,0.09,2.9,103.1504,6.7
"2014-01-01",2014-01-01,2701.7,11065.6,99.2705164608446,0.04,0.07,2.86,102.7216,6.6
"2014-02-01",2014-02-01,2706.2,11148.7,99.3797913229852,0.05,0.07,2.71,103.5917,6.7
"2014-03-01",2014-03-01,2773.3,11190.3,99.5827303526751,0.05,0.08,2.72,104.5889,6.7
"2014-04-01",2014-04-01,2809.6,11246.5,99.7683710451149,0.03,0.09,2.71,104.6371,6.2
"2014-05-01",2014-05-01,2782.2,11314.8,99.958230844201,0.03,0.09,2.56,105.0152,6.3
"2014-06-01",2014-06-01,2824.8,11367.1,100.090288882232,0.04,0.1,2.6,105.4081,6.1
"2014-07-01",2014-07-01,2841.2,11428.4,100.20293902969,0.03,0.09,2.54,105.6157,6.2
"2014-08-01",2014-08-01,2790.2,11457.6,100.186906424434,0.03,0.09,2.42,105.4986,6.1
"2014-09-01",2014-09-01,2834.6,11492,100.194078905732,0.02,0.09,2.53,105.8138,5.9
"2014-10-01",2014-10-01,2865,11551.4,100.174249104495,0.02,0.09,2.3,105.8357,5.7
"2014-11-01",2014-11-01,2861.1,11590.6,99.9856550374024,0.02,0.09,2.33,106.6634,5.8
"2014-12-01",2014-12-01,2992,11668,99.6772383415536,0.03,0.12,2.21,106.5085,5.6
"2015-01-01",2015-01-01,2941.1,11732.1,99.0300273820021,0.03,0.11,1.88,105.9806,5.7
"2015-02-01",2015-02-01,2979.6,11852.5,99.2485771062835,0.02,0.11,1.98,105.4425,5.5
"2015-03-01",2015-03-01,3023.9,11869.4,99.5730264073885,0.03,0.11,2.04,105.1464,5.4
"2015-04-01",2015-04-01,3035.4,11916.6,99.6367349177485,0.02,0.12,1.94,104.5272,5.4
"2015-05-01",2015-05-01,2975.9,11949.3,99.9818578414206,0.02,0.12,2.2,104.0742,5.6
"2015-06-01",2015-06-01,3020.7,11994.6,100.281414413312,0.02,0.13,2.36,103.7174,5.3
"2015-07-01",2015-07-01,3038.4,12046.6,100.437099448563,0.03,0.13,2.32,104.3243,5.2
"2015-08-01",2015-08-01,3022.3,12097.6,100.426551681947,0.07,0.14,2.17,104.1621,5.1
"2015-09-01",2015-09-01,3016.3,12153.1,100.206314315007,0.02,0.14,2.17,103.7768,5
"2015-10-01",2015-10-01,3011.9,12185,100.322339747782,0.02,0.12,2.07,103.3976,5
"2015-11-01",2015-11-01,3056.2,12274.2,100.421488753971,0.12,0.12,2.26,102.6866,5.1
"2015-12-01",2015-12-01,3141.1,12330.1,100.337528531709,0.23,0.24,2.24,102.1014,5
"2016-01-01",2016-01-01,3094,12458,100.344279102343,0.26,0.34,2.09,102.9525,4.9
"2016-02-01",2016-02-01,3096.6,12534.3,100.190703620415,0.31,0.38,1.78,102.2225,4.9
"2016-03-01",2016-03-01,3179.8,12597.9,100.430770788593,0.29,0.36,1.89,101.4155,5
"2016-04-01",2016-04-01,3234.5,12687.2,100.763658302991,0.23,0.37,1.81,101.5167,5
"2016-05-01",2016-05-01,3234.8,12756,101.032415396364,0.27,0.37,1.81,101.4298,4.8
"2016-06-01",2016-06-01,3247,12823.6,101.329018593603,0.27,0.38,1.64,101.8747,4.9
"2016-07-01",2016-07-01,3244.7,12882.3,101.321846112304,0.3,0.39,1.5,102.1325,4.8
"2016-08-01",2016-08-01,3319,12969.7,101.51254973272,0.3,0.4,1.56,102.0407,4.9
"2016-09-01",2016-09-01,3296.4,13030.7,101.701987621141,0.29,0.4,1.63,102.0477,5
"2016-10-01",2016-10-01,3327.7,13099.3,101.972010446508,0.33,0.4,1.76,102.2485,4.9
"2016-11-01",2016-11-01,3328.6,13169.6,102.114616251155,0.45,0.41,2.14,102.0507,4.7
"2016-12-01",2016-12-01,3384.1,13198.9,102.428095874979,0.51,0.54,2.49,102.9281,4.7
"2017-01-01",2017-01-01,3388.7,13275.4,102.853381824932,0.51,0.65,2.43,103.0366,4.7
"2017-02-01",2017-02-01,3358.1,13341.1,102.929747655231,0.52,0.66,2.42,102.6479,4.6
"2017-03-01",2017-03-01,3477.3,13411.4,102.840302594329,0.74,0.79,2.48,103.343,4.4
"2017-04-01",2017-04-01,3489.1,13476.8,102.967719615049,0.8,0.9,2.3,104.2721,4.4
"2017-05-01",2017-05-01,3517.2,13530.5,102.930169565896,0.89,0.91,2.3,104.4129,4.4
"2017-06-01",2017-06-01,3527.8,13558.1,103.022989912116,0.98,1.04,2.19,104.5849,4.3
"2017-07-01",2017-07-01,3548.3,13618.2,103.11074733036,1.07,1.15,2.32,104.5427,4.3
"2017-08-01",2017-08-01,3588.6,13673.7,103.493420303185,1.01,1.16,2.21,104.0475,4.4
"2017-09-01",2017-09-01,3542.3,13716.4,103.966382158242,1.03,1.15,2.2,104.0502,4.2
"2017-10-01",2017-10-01,3601.7,13768.9,104.037685060565,1.07,1.15,2.36,105.6287,4.1
"2017-11-01",2017-11-01,3603.5,13793.9,104.352008505719,1.23,1.16,2.35,106.193,4.2
"2017-12-01",2017-12-01,3653,13835.6,104.592075673897,1.32,1.3,2.4,106.536,4.1
"2018-01-01",2018-01-01,3652.7,13858.3,105.006813857234,1.41,1.41,2.58,106.2655,4.1
"2018-02-01",2018-02-01,3566.9,13892.8,105.211440529582,1.57,1.42,2.86,106.6419,4.1
"2018-03-01",2018-03-01,3689.1,13952.6,105.26586700532,1.7,1.51,2.84,107.2519,4
"2018-04-01",2018-04-01,3698.9,13989.1,105.459102089723,1.76,1.69,2.87,108.2223,4
"2018-05-01",2018-05-01,3656.3,14054.9,105.750220448322,1.86,1.7,2.98,107.3639,3.8
"2018-06-01",2018-06-01,3654.8,14120,105.956112852665,1.9,1.82,2.91,108.1707,4
"2018-07-01",2018-07-01,3678,14153,106.151457490391,1.96,1.91,2.89,108.652,3.8
"2018-08-01",2018-08-01,3686.2,14197,106.270436297818,2.03,1.91,2.89,109.5246,3.8
"2018-09-01",2018-09-01,3671.6,14228.5,106.325706594886,2.13,1.95,3,109.6749,3.7
"2018-10-01",2018-10-01,3718.5,14235.4,106.65648455596,2.25,2.19,3.15,109.9165,3.8
"2018-11-01",2018-11-01,3676.6,14245.4,106.642139593362,2.33,2.2,3.12,110.5067,3.7
"2018-12-01",2018-12-01,3796.9,14351.7,106.626528898771,2.37,2.27,2.83,110.5516,3.9
"2019-01-01",2019-01-01,3745.5,14434.6,106.605433365539,2.37,2.4,2.71,110.1185,4
"2019-02-01",2019-02-01,3702.1,14464.4,106.791074057979,2.39,2.4,2.68,109.5631,3.8
"2019-03-01",2019-03-01,3754,14511.8,107.227751595877,2.4,2.41,2.57,109.6811,3.8
"2019-04-01",2019-04-01,3819.9,14558.3,107.569499234232,2.38,2.42,2.53,108.9888,3.6
"2019-05-01",2019-05-01,3787.8,14653.2,107.652615635165,2.35,2.39,2.4,109.2264,3.6
"2019-06-01",2019-06-01,3828.2,14780.7,107.715902234861,2.17,2.38,2.07,109.2774,3.7
"2019-07-01",2019-07-01,3860.8,14860.8,108.077057763789,2.1,2.4,2.06,109.0852,3.7
"2019-08-01",2019-08-01,3847.3,14933.7,108.135703346173,1.95,2.13,1.63,109.8543,3.7
"2019-09-01",2019-09-01,3874.7,15024.9,108.160174164722,1.89,2.04,1.7,109.48,3.5
"2019-10-01",2019-10-01,3922.2,15154.6,108.545378601535,1.65,1.83,1.71,109.0086,3.6
